"NewsCode-URI","NewsCode-QCode (flat)","Level 1/NewsCode","Level 2/NewsCode","Level 3/NewsCode","Level 4/NewsCode","Level 5/NewsCode","Name (en-GB)","Definition (en-GB)","Name (fr)","Definition (fr)","Name (es)","Definition (es)","Name (de)","Definition (de)","Name (it)","Definition (it)","Name (jp)","Definition (jp)"
"http://cv.iptc.org/newscodes/subjectcode/01017001","subj:01017001",,,"subj:01017001",,,"music theatre","Opera, operetta, music revues etc ","Musique scénique","Opéra, opérettes et music hall ","teatro musical","Opera, operetta, variedades musicales. ","Musiktheater","Oper, Operette, Musicals etc. ","Musica a Teatro","Opera, operetta, varietà musicale, musical, rivista ecc. ","オペラ・ミュージカル","歌劇、オペレッタ、音楽レビューなど "
"http://cv.iptc.org/newscodes/subjectcode/01018000","subj:01018000",,"subj:01018000",,,,"monument and heritage site","Areas containing commemorative objects for historical people or events ","Patrimoine","Sites historiques ","monumentos y patrimonio nacional","Areas que contienen objetos conmemorativos de la historia, gente o eventos. ","Denkmal und Gedenkstätte","Flächen mit Objekten in Gedenken an historische Personen oder Ereignisse. ","Monumenti, Siti storici","Aree o opere che commemorano personaggi o eventi di rilevanza storica ","遺跡・文化財","歴史的な人々又は出来事に対して、記念となる対象を持つ区域 "
"http://cv.iptc.org/newscodes/subjectcode/01018001","subj:01018001",,,"subj:01018001",,,"institution-DEPRECATED","NA","Institutions-DEPRECATED","Etablissement, organisation à caractère social, religieux, éducatif, ou autre système à but similaire DEPRECATED ","institución-ANULADO","ANULADO ","Institution-GELÖSCHT","--- ","Istituzioni - ANNULLATO","ANNULLATO ","制度・組織－使用不可","確立された法律、業務、体制、あるいは病院、学校、刑務所のように、社会的/宗教的/教育的に同じ目的を持っている組織 "
"http://cv.iptc.org/newscodes/subjectcode/01019000","subj:01019000",,"subj:01019000",,,,"customs and tradition","A particular way of behaving, or observances that have developed over time by a group of people ","Coutumes et traditions","L'ensemble des us et coutumes ","costumbres y tradiciones","una forma en particular de comportarse, o actitudes que se desarrollan con el tiempo por un grupo de personas. ","Brauchtum","Eine spezielle Verhaltensweise oder Brauch, die sich für eine bestimmte Gruppe von Menschen über einen Zeitraum entwickelt hat. ","Tradizioni","Usi e costumi di una comunità sviluppatisi nel corso del tempo ","伝統","人々の集団によって長い間に発展させられて来た特別なふるまいの慣習、又はしきたり "
"http://cv.iptc.org/newscodes/subjectcode/01020000","subj:01020000",,"subj:01020000",,,,"arts (general)","The collective expression of message or emotion through music, literature, painting, theatre or other means ","Arts","Les arts en général, peinture, sculpture, etc. ","artes (general)","Expresiones colectivas de un mensaje o emoción a través de música, literatura, pintura, teatro u otros medios. ","Kunst","Zusammenfassender Ausdruck einer Botschaft oder eines Gefühls durch Musik, Literatur, Malerei, Theater oder andere Mittel. ","Arti (generico)","Espressione di un messaggio o un'emozione attraverso musica, letteratura, pittura, teatro o altri mezzi. ","芸術（一般）","音楽、文学、絵画、演劇、その他の手法を用いてメッセージ又は感情の集積した表現 "
"http://cv.iptc.org/newscodes/subjectcode/01021000","subj:01021000",,"subj:01021000",,,,"entertainment (general)","The collective use of television, radio, theatre, music and the like for the amusement of people ","Divertissement","Les spectacles de distraction en général, télévision, radio, théâtre, musique ","espectáculos (general)","El uso colectivo de televisión, radio, teatro, música y el gusto por el entretenimiento de la gente. ","Unterhaltung","Nutzung der Möglichkeiten von Fernsehen, Radio, Theater, Musik und ähnlichem, zum Zweck der Unterhaltung von Menschen.","Intrattenimento (generico)","Spettacolo attraverso tv, radio, teatro, musica e altri mezzi per intrattenere un pubblico ","芸能（一般）","テレビ、ラジオ、演劇、音楽など大衆のための娯楽の総称 "
"http://cv.iptc.org/newscodes/subjectcode/01021001","subj:01021001",,,"subj:01021001",,,"entertainment award","Awards for achievement in the entertainment industry, such as the Oscars for film, the Booker Prize for Literature, the Grammys for music, or induction into halls of fame. ",,,,,"Kulturelle Auszeichnung","Preis für Leistungen in der Unterhaltungsindustrie, wie z.B Oskar beim Film, Buchpreis in der Literatur, der Grammy in der Musikindustrie oder die Einladung in die Halls of fame"". ""","Premi","Premi e cerimonie di premiazione nel mondo dello spettacolo e dell'industria dell'intrattenimento: Oscar, Grammy, ecc. ","芸能関連賞","映画のオスカー、文学のブッカー賞、音楽のグラミー賞あるいは殿堂入りなど娯楽産業における業績に与えられる賞 "
"http://cv.iptc.org/newscodes/subjectcode/01022000","subj:01022000",,"subj:01022000",,,,"culture (general)","The ideas, customs, arts, skills of a particular group ","Culture","L'ensemble des connaissances assimilées par une société donnée ","cultura (general)","Las ideas, costumbres, artes, aptitudes de un grupo en particular ","Kultur","Die Ideen, Bräuche, Künste, Fertigkeiten einer bestimmten Gruppe. ","Cultura (generico)","Insieme delle idee, costumi, arti, attitudini di un determinato gruppo o di una determinata società. ","文化（一般）","特定の集団の思想、習慣、芸術、技術 "
"http://cv.iptc.org/newscodes/subjectcode/01022001","subj:01022001",,,"subj:01022001",,,"cultural development","The history of the development of art and culture such as the rise of cave paintings, pre-Colombian art, Chinese paper-making, anything non-political ","Histoire de la culture","Histoire du développement de l'art et de la culture ","desarrollo cultural","La historia del desarrollo de las artes y culturas tales como las pinturas rupestres, arte pre'colombino, la confección de papel chino. Cualquier cosa no política. ","Kulturgeschichte","Die Geschichte der Entwicklung von Kunst und Kultur, wie beispielsweise die Entstehung der Höhlenmalerei, der vorkolumbianischen Kunst oder der chinesische Papierkunst, alles Unpolitische. ","Sviluppo culturale","Storia dello sviluppo artistico e culturale ","文化史","政治的には関係ない洞窟壁画、コロンビア芸術、中国製紙の起源のような芸術や文化の発達の歴史 "
"http://cv.iptc.org/newscodes/subjectcode/01023000","subj:01023000",,"subj:01023000",,,,"nightclub","A commercial establishment providing music, or other entertainment along with food and drink to selected clientele ","Boîte de nuit","Etablissement de distraction privé, ouvert la nuit ","clubes nocturnos","Un establecimiento comercial que provee música u otro entretenimiento, junto con comida y bebidas a una clientela selecta. ","Nachtclub","Kommerzielle Einrichtung für ein ausgewähltes Klientel, die Musik oder andere Unterhaltung anbietet, begleitet mit Essen und Trinken. ","Locali notturni","Esercizi aperti in orari notturni dove è possibile fruire di musica e/o di altre forme di intrattenimento e spettacolo ","ライブハウス","選ばれた客に対し、食べ物や飲み物のほかに音楽や他の娯楽を提供する商業施設 "
"http://cv.iptc.org/newscodes/subjectcode/01024000","subj:01024000",,"subj:01024000",,,,"cartoon","Still images such as editorial cartoons and comic strips ","Bande dessinée","Dessin éditorial, caricatures et bandes dessinées ","caricaturas","Imágenes como caricaturas editoriales y tiras cómicas ","Comic","Unbewegte Bilder, wie Karikaturen und Comics. ","Fumetti","Illustrazioni editoriali, caricature e vignette ","漫画","時事漫画やコミック漫画のような静止画 "
"http://cv.iptc.org/newscodes/subjectcode/01025000","subj:01025000",,"subj:01025000",,,,"animation","Animation, including full-length and short cinema, artists and merchandising of goods featuring animation characters. ","Dessin animé","Dessins animés de toutes sortes ","animación","Animaciones incluidas cine de larga y corta duración, artistas y merchandising de artículos de las figuras animadas. ","Animation/Zeichentrick","Zeichentrickfilm, auch Kurzfilmkino, Künstler und Vermarktung von Produkten rund um Zeichentrickfiguren. ","Animazione","Cartoni animati, lungo e cortometraggi, artisti e commercializzazione di oggetti collegati a personaggi di cartoni animati ","アニメ","アニメーションムービーに関する、長編･短編の作品、作家、そしてキャラクター商品の販売 "
"http://cv.iptc.org/newscodes/subjectcode/01026000","subj:01026000",,"subj:01026000",,,,"mass media","Television, radio, magazines, newspapers etc ","Média","Télévision, radio, magazines, journaux, etc. ","medios masivos","TV, radio, diarios, revistas. ","Massenmedien","Fernsehen, Radio, Magazine, Zeitungen etc. ","Mass Media","Mezzi di comunicazione di massa: televisione, radio, riviste, giornali, ecc ... ","マスメディア","テレビ、ラジオ、雑誌、新聞など "
"http://cv.iptc.org/newscodes/subjectcode/01026001","subj:01026001",,,"subj:01026001",,,"periodicals","Written material that is usually published weekly, bi-weekly, monthly or annually for a long time ","Périodiques","Journaux et magazines périodiques : hebdomadaire, bi-hebdo, mensuel, bi-mensuel, bimestriel, trimestriel, semestriel, annuel ","periódicos","Material escrito que generalmente se publica semanal, mensual anualmente durante un largo tiempo ","Zeitschrift","Geschriebenes, was über einen längeren Zeitraum meist wöchentlich, vierzehntägig, monatlich oder jährlich veröffentlicht wird. ","Periodici","Pubblicazioni periodiche o riviste con cadenza settimanale, quindicinale, mensile o altro ","定期刊行物","週ごと、隔週ごと、月ごと、年ごとに、長期にわたって定期的に発刊される書物 "
"http://cv.iptc.org/newscodes/subjectcode/01026002","subj:01026002",,,"subj:01026002",,,"news media","Television, wire services, radio that collect facts about incidents, developing and presenting them to audiences as a whole story ","Radio-tv","Agence de presse, radio, télévision ","medios informativos","Televisión, servicios de telex, radio que recogen hechos acerca de incidentes, desarrollando y presentándolos a la audiencia como toda una historia ","Nachrichtensender","Fernsehen, Radio und Telekommunikationsdienstleister, die Fakten über Ereignisse sammeln und diese für die Öffentlichkeit aufbereiten.","Mezzi informazione","Televisione, servizi via cavo, radio e altro con la raccolta di notizie e informazioni e la presentazione di esse al pubblico ","ニュースメディア","テレビ、ワイヤーサービス、ラジオ。出来事について事実を集め、それをもとに、視聴者/読者に対して全体の話として作り上げて紹介する "
"http://cv.iptc.org/newscodes/subjectcode/01026003","subj:01026003",,,"subj:01026003",,,"newspapers","Daily or weekly publications that present the day to day history of the world, as well as features, comics etc ","Journaux","Journaux quotidiens et hebdomadaires ","diarios y revistas","Publicaciones dirías o semanales que presentan día a día noticias, películas y comics, etc. ","Zeitung","Tägliche oder wöchentliche Publikationen, die das tägliche Weltgeschehen darstellen, wie Reportagen, Berichte, Comics etc. ","Giornali","Pubblicazioni quotidiane o settimanali di notizie o con servizi speciali ","新聞","日刊あるいは週刊の刊行物。特集や漫画などだけでなく、世界で日々起こっている歴史を紹介する "
